buscoID	query_chr	position	assigned_chr	status
0at7088	SUPER_25	6356670.5	SUPER_24	self
1at7088	SUPER_Z	9191352.5	SUPER_Z	SUPER_Z
2at7088	SUPER_9	14193475.0	SUPER_8	self
3at7088	SUPER_1	21892889.5	SUPER_10	self
4at7088	SUPER_20	14867149.0	SUPER_22	self
6at7088	SUPER_1	6066733.0	SUPER_10	self
11at7088	SUPER_17	15067921.5	SUPER_17	self
13at7088	SUPER_3	28449190.5	SUPER_1	self
18at7088	SUPER_17	11244898.0	SUPER_17	self
20at7088	SUPER_5	17339645.0	SUPER_6	self
26at7088	SUPER_7	7133500.0	SUPER_3	self
27at7088	SUPER_Z	16712921.5	SUPER_Z	SUPER_Z
28at7088	SUPER_7	9361606.5	SUPER_3	self
31at7088	SUPER_25	10089558.5	SUPER_24	self
33at7088	SUPER_7	18878585.0	SUPER_3	self
34at7088	SUPER_7	2005916.0	SUPER_3	self
36at7088	SUPER_1	30813812.5	SUPER_20	SUPER_20
37at7088	SUPER_Z	3505104.0	SUPER_Z	SUPER_Z
38at7088	SUPER_25	14589452.0	SUPER_24	self
41at7088	SUPER_1	15672267.5	SUPER_10	self
43at7088	SUPER_5	22196834.5	SUPER_6	self
46at7088	SUPER_1	12095417.5	SUPER_10	self
47at7088	SUPER_Z	33859710.0	SUPER_2	self
48at7088	SUPER_8	16679891.0	SUPER_14	self
49at7088	SUPER_9	4032892.5	SUPER_8	self
50at7088	SUPER_6	17042042.0	SUPER_4	self
51at7088	SUPER_1	21115639.5	SUPER_10	self
52at7088	SUPER_2	14394845.0	SUPER_13	self
54at7088	SUPER_6	27767315.5	SUPER_4	self
56at7088	SUPER_5	9684898.0	SUPER_6	self
57at7088	SUPER_7	13470070.5	SUPER_3	self
59at7088	SUPER_17	13873791.5	SUPER_17	self
60at7088	SUPER_6	2286330.0	SUPER_4	self
63at7088	SUPER_12	981167.5	SUPER_12	self
64at7088	SUPER_9	14782186.5	SUPER_8	self
65at7088	SUPER_10	25953767.0	SUPER_21	self
66at7088	SUPER_13	5676693.0	SUPER_15	self
68at7088	SUPER_Z	28021861.0	SUPER_Z	SUPER_Z
69at7088	SUPER_16	6995899.0	SUPER_11	self
70at7088	SUPER_6	22738690.0	SUPER_4	self
72at7088	SUPER_Z	42595201.0	SUPER_2	self
74at7088	SUPER_14	10340670.5	SUPER_16	self
78at7088	SUPER_18	6757821.5	SUPER_19	self
83at7088	SUPER_25	12567873.0	SUPER_24	self
84at7088	SUPER_18	17240436.5	SUPER_19	self
86at7088	SUPER_11	16518686.5	SUPER_9	self
88at7088	SUPER_7	15465643.0	SUPER_3	self
96at7088	SUPER_Z	25830425.5	SUPER_Z	SUPER_Z
101at7088	SUPER_Z	24987547.5	SUPER_Z	SUPER_Z
103at7088	SUPER_8	15970339.0	SUPER_14	self
105at7088	SUPER_25	10042815.0	SUPER_24	self
106at7088	SUPER_11	18162571.0	SUPER_9	self
112at7088	SUPER_Z	41850414.5	SUPER_2	self
113at7088	SUPER_Z	24837810.0	SUPER_Z	SUPER_Z
116at7088	SUPER_7	19671814.0	SUPER_3	self
122at7088	SUPER_19	7479522.0	SUPER_18	self
123at7088	SUPER_18	10373627.0	SUPER_19	self
126at7088	SUPER_19	13629544.0	SUPER_18	self
127at7088	SUPER_8	15175092.5	SUPER_14	self
128at7088	SUPER_9	26781535.0	SUPER_8	self
133at7088	SUPER_11	21362484.0	SUPER_9	self
136at7088	SUPER_7	8594739.0	SUPER_3	self
137at7088	SUPER_12	10883585.0	SUPER_12	self
138at7088	SUPER_11	13029889.0	SUPER_9	self
139at7088	SUPER_15	20931314.0	SUPER_7	self
140at7088	SUPER_14	18435322.0	SUPER_16	self
145at7088	SUPER_8	16778602.0	SUPER_14	self
148at7088	SUPER_16	15186831.0	SUPER_11	self
155at7088	SUPER_2	35876533.0	SUPER_13	self
158at7088	SUPER_17	13339553.0	SUPER_17	self
159at7088	SUPER_18	16703851.0	SUPER_19	self
160at7088	SUPER_4	21823171.0	SUPER_5	self
163at7088	SUPER_6	11295141.5	SUPER_4	self
173at7088	SUPER_19	12797922.0	SUPER_18	self
177at7088	SUPER_11	19611216.0	SUPER_9	self
179at7088	SUPER_1	12004061.5	SUPER_10	self
183at7088	SUPER_1	7436906.5	SUPER_10	self
184at7088	SUPER_2	17843440.5	SUPER_13	self
186at7088	SUPER_9	14590208.0	SUPER_8	self
190at7088	SUPER_25	3255637.0	SUPER_24	self
193at7088	SUPER_14	1989543.5	SUPER_16	self
196at7088	SUPER_1	17422575.5	SUPER_10	self
200at7088	SUPER_1	27398694.0	SUPER_20	SUPER_20
201at7088	SUPER_5	3407066.0	SUPER_6	self
204at7088	SUPER_3	18381574.0	SUPER_1	self
206at7088	SUPER_Z	46997460.0	SUPER_2	self
207at7088	SUPER_11	1502244.5	SUPER_9	self
208at7088	SUPER_3	16265578.0	SUPER_1	self
210at7088	SUPER_3	15280654.5	SUPER_1	self
211at7088	SUPER_9	11180756.5	SUPER_8	self
212at7088	SUPER_Z	3631992.5	SUPER_Z	SUPER_Z
215at7088	SUPER_16	7253428.0	SUPER_11	self
220at7088	SUPER_13	8842411.5	SUPER_15	self
